X,Y,Red,NIR,Class
55,50,592.0,1762.0,1
60,50,1139.0,2248.0,1
65,50,694.0,2087.0,1
70,50,939.0,1884.0,1
75,50,670.0,1448.0,1
80,50,550.0,1533.0,1
85,50,733.0,1952.0,1
90,50,746.0,2187.0,1
95,50,594.0,1216.0,1
100,50,668.0,1768.0,1
105,50,1065.0,1856.0,0
110,50,276.0,363.0,0
115,50,411.0,436.0,0
120,50,620.0,1466.0,1
125,50,644.0,1772.0,1
130,50,281.0,344.0,0
135,50,245.0,251.0,0
140,50,488.0,980.0,1
145,50,303.0,300.0,0
150,50,580.0,1530.0,1
155,50,533.0,1349.0,1
160,50,292.0,323.0,0
165,50,563.0,1403.0,1
170,50,3011.0,2944.0,0
175,50,552.0,546.0,0
180,50,1736.0,1713.0,0
185,50,2057.0,2081.0,0
190,50,1573.0,2537.0,0
195,50,1105.0,2792.0,1
200,50,1303.0,1704.0,0
205,50,5911.0,5639.0,0
210,50,4493.0,4196.0,0
215,50,1184.0,1836.0,0
220,50,1613.0,2711.0,0
225,50,917.0,2780.0,1
230,50,693.0,1911.0,1
235,50,682.0,1584.0,1
240,50,330.0,307.0,0
245,50,1383.0,1845.0,0
250,50,6148.0,5554.0,0
255,50,2571.0,2602.0,0
260,50,1197.0,1515.0,0
265,50,1120.0,1737.0,0
270,50,941.0,1777.0,0
275,50,941.0,1575.0,0
280,50,625.0,1337.0,1
285,50,440.0,1204.0,1
290,50,349.0,690.0,1
295,50,580.0,1884.0,1
300,50,724.0,2349.0,1
10,55,189.0,177.0,0
15,55,676.0,1005.0,0
20,55,192.0,228.0,0
25,55,572.0,1407.0,1
30,55,464.0,1044.0,1
35,55,552.0,1040.0,0
40,55,174.0,161.0,0
45,55,483.0,1392.0,1
50,55,562.0,1455.0,1
55,55,801.0,1834.0,1
60,55,3667.0,3873.0,0
65,55,536.0,1429.0,1
70,55,477.0,1193.0,1
75,55,732.0,2005.0,1
80,55,509.0,1501.0,1
85,55,800.0,1906.0,1
90,55,934.0,2022.0,1
95,55,312.0,905.0,1
100,55,302.0,490.0,0
105,55,429.0,873.0,1
110,55,237.0,342.0,0
115,55,612.0,1693.0,1
120,55,1148.0,1988.0,0
125,55,802.0,1152.0,0
130,55,1622.0,1515.0,0
135,55,416.0,453.0,0
140,55,3221.0,3087.0,0
145,55,2277.0,2287.0,0
150,55,794.0,1774.0,1
155,55,266.0,403.0,0
160,55,346.0,285.0,0
165,55,2131.0,2490.0,0
170,55,704.0,645.0,0
175,55,4334.0,4134.0,0
180,55,1106.0,1645.0,0
185,55,1115.0,2034.0,0
190,55,989.0,3362.0,1
195,55,492.0,1267.0,1
200,55,1430.0,1630.0,0
205,55,1721.0,2848.0,0
210,55,1462.0,2031.0,0
215,55,1587.0,2403.0,0
220,55,768.0,1423.0,0
225,55,642.0,1883.0,1
230,55,753.0,1397.0,0
235,55,1814.0,2435.0,0
240,55,4979.0,4537.0,0
245,55,1279.0,1617.0,0
250,55,5777.0,5389.0,0
255,55,1791.0,1745.0,0
260,55,604.0,612.0,0
265,55,360.0,301.0,0
270,55,512.0,965.0,0
275,55,509.0,1166.0,1
280,55,329.0,836.0,1
285,55,2538.0,2523.0,0
290,55,506.0,1442.0,1
295,55,447.0,987.0,1
300,55,696.0,1807.0,1
10,60,379.0,502.0,0
15,60,393.0,421.0,0
20,60,653.0,729.0,0
25,60,458.0,422.0,0
30,60,5944.0,5538.0,0
35,60,956.0,986.0,0
40,60,720.0,1306.0,0
45,60,416.0,762.0,0
50,60,243.0,362.0,0
55,60,1241.0,2101.0,0
60,60,574.0,1337.0,1
65,60,391.0,775.0,1
70,60,611.0,1504.0,1
75,60,1967.0,3164.0,0
80,60,980.0,1988.0,1
85,60,769.0,1424.0,0
90,60,1142.0,2248.0,1
95,60,455.0,1393.0,1
100,60,372.0,1128.0,1
105,60,1041.0,1479.0,0
110,60,442.0,656.0,0
115,60,374.0,904.0,1
120,60,1176.0,2701.0,1
125,60,1061.0,2078.0,1
130,60,2369.0,2845.0,0
135,60,2330.0,2943.0,0
140,60,6354.0,6110.0,0
145,60,2415.0,2086.0,0
150,60,486.0,519.0,0
155,60,3946.0,4025.0,0
160,60,4881.0,4573.0,0
165,60,5274.0,5014.0,0
170,60,1127.0,1587.0,0
175,60,1144.0,2179.0,0
180,60,819.0,2547.0,1
185,60,1054.0,1854.0,0
190,60,806.0,2546.0,1
195,60,769.0,2737.0,1
200,60,1378.0,1975.0,0
205,60,940.0,2588.0,1
210,60,1310.0,3727.0,1
215,60,1053.0,1907.0,0
220,60,631.0,1569.0,1
225,60,448.0,1033.0,1
230,60,590.0,1437.0,1
235,60,4363.0,4191.0,0
240,60,2038.0,2120.0,0
245,60,3074.0,2860.0,0
250,60,755.0,688.0,0
255,60,2598.0,2471.0,0
260,60,435.0,361.0,0
265,60,1358.0,1727.0,0
270,60,898.0,1690.0,0
275,60,251.0,379.0,0
280,60,465.0,1239.0,1
285,60,830.0,1694.0,1
290,60,428.0,1134.0,1
295,60,773.0,1903.0,1
300,60,613.0,1375.0,1
10,65,935.0,911.0,0
15,65,3075.0,2981.0,0
20,65,1047.0,977.0,0
25,65,1917.0,1979.0,0
30,65,456.0,388.0,0
35,65,343.0,340.0,0
40,65,1932.0,2314.0,0
45,65,691.0,1894.0,1
50,65,655.0,1628.0,1
55,65,583.0,1074.0,0
60,65,487.0,1280.0,1
65,65,540.0,1582.0,1
70,65,1024.0,1122.0,0
75,65,2843.0,3220.0,0
80,65,1051.0,2120.0,1
85,65,1085.0,2321.0,1
90,65,589.0,1541.0,1
95,65,1274.0,2605.0,1
100,65,649.0,1496.0,1
105,65,429.0,1222.0,1
110,65,1590.0,2337.0,0
115,65,775.0,1549.0,1
120,65,740.0,1615.0,1
125,65,747.0,1354.0,0
130,65,715.0,1638.0,1
135,65,3585.0,3372.0,0
140,65,7276.0,6879.0,0
145,65,1705.0,1566.0,0
150,65,1332.0,1173.0,0
155,65,5547.0,5329.0,0
160,65,1926.0,1781.0,0
165,65,1484.0,1982.0,0
170,65,1440.0,2413.0,0
175,65,1007.0,2175.0,1
180,65,758.0,2012.0,1
185,65,1194.0,2209.0,0
190,65,587.0,1585.0,1
195,65,564.0,1480.0,1
200,65,766.0,1110.0,0
205,65,649.0,2000.0,1
210,65,636.0,1893.0,1
215,65,292.0,808.0,1
220,65,434.0,1296.0,1
225,65,767.0,1348.0,0
230,65,469.0,471.0,0
235,65,1942.0,1867.0,0
240,65,692.0,593.0,0
245,65,6680.0,6202.0,0
250,65,6446.0,6082.0,0
255,65,4409.0,4330.0,0
260,65,3546.0,3364.0,0
265,65,5662.0,5611.0,0
270,65,1252.0,1614.0,0
275,65,1049.0,1812.0,0
280,65,619.0,923.0,0
285,65,1053.0,1626.0,0
290,65,1038.0,2048.0,1
295,65,435.0,1096.0,1
300,65,423.0,1353.0,1
10,70,1880.0,2329.0,0
15,70,806.0,743.0,0
20,70,5337.0,5153.0,0
25,70,4082.0,4109.0,0
30,70,5314.0,5059.0,0
35,70,1077.0,1116.0,0
40,70,397.0,335.0,0
45,70,398.0,327.0,0
50,70,386.0,413.0,0
55,70,422.0,868.0,1
60,70,1283.0,2717.0,1
65,70,455.0,1142.0,1
70,70,360.0,727.0,1
75,70,652.0,865.0,0
80,70,379.0,408.0,0
85,70,2099.0,3003.0,0
90,70,1434.0,1207.0,0
95,70,384.0,891.0,1
100,70,822.0,1613.0,1
105,70,792.0,2096.0,1
110,70,1004.0,1682.0,0
115,70,1472.0,2282.0,0
120,70,1406.0,1660.0,0
125,70,1662.0,2239.0,0
130,70,516.0,556.0,0
135,70,720.0,687.0,0
140,70,1414.0,1749.0,0
145,70,3181.0,3276.0,0
150,70,2957.0,3086.0,0
155,70,1357.0,2024.0,0
160,70,1657.0,2555.0,0
165,70,4481.0,4372.0,0
170,70,5130.0,4918.0,0
175,70,2188.0,2790.0,0
180,70,382.0,832.0,1
185,70,501.0,1544.0,1
190,70,1247.0,2072.0,0
195,70,782.0,1761.0,1
200,70,814.0,2167.0,1
205,70,1019.0,3186.0,1
210,70,743.0,2330.0,1
215,70,372.0,846.0,1
220,70,503.0,1174.0,1
225,70,606.0,1587.0,1
230,70,977.0,1900.0,1
235,70,1496.0,2244.0,0
240,70,977.0,1381.0,0
245,70,2158.0,2253.0,0
250,70,1724.0,1830.0,0
255,70,7167.0,6675.0,0
260,70,1458.0,1848.0,0
265,70,1256.0,2117.0,0
270,70,1338.0,2097.0,0
275,70,425.0,609.0,0
280,70,415.0,625.0,0
285,70,612.0,1031.0,0
290,70,744.0,1181.0,0
295,70,1348.0,1869.0,0
300,70,650.0,1797.0,1
10,75,1365.0,1662.0,0
15,75,4903.0,4788.0,0
20,75,6175.0,5849.0,0
25,75,833.0,730.0,0
30,75,504.0,433.0,0
35,75,472.0,385.0,0
40,75,661.0,551.0,0
45,75,577.0,444.0,0
50,75,1981.0,2226.0,0
55,75,809.0,1119.0,0
60,75,572.0,2115.0,1
65,75,624.0,1510.0,1
70,75,295.0,529.0,0
75,75,171.0,165.0,0
80,75,167.0,206.0,0
85,75,632.0,1380.0,1
90,75,1175.0,2600.0,1
95,75,590.0,1562.0,1
100,75,667.0,1891.0,1
105,75,417.0,1037.0,1
110,75,310.0,761.0,1
115,75,608.0,1161.0,1
120,75,884.0,1464.0,0
125,75,1575.0,2491.0,0
130,75,1060.0,1459.0,0
135,75,1288.0,1920.0,0
140,75,4254.0,3976.0,0
145,75,1427.0,2185.0,0
150,75,1506.0,2564.0,0
155,75,4041.0,4154.0,0
160,75,1643.0,2271.0,0
165,75,2187.0,2666.0,0
170,75,3132.0,3107.0,0
175,75,6644.0,6141.0,0
180,75,2331.0,2310.0,0
185,75,708.0,1708.0,1
190,75,314.0,720.0,1
195,75,867.0,1721.0,1
200,75,808.0,1510.0,0
205,75,942.0,1916.0,1
210,75,1335.0,2437.0,0
215,75,555.0,1498.0,1
220,75,423.0,1297.0,1
225,75,255.0,553.0,1
230,75,579.0,1464.0,1
235,75,2323.0,2256.0,0
240,75,3356.0,3396.0,0
245,75,1518.0,2507.0,0
250,75,599.0,508.0,0
255,75,3336.0,3839.0,0
260,75,1346.0,2260.0,0
265,75,1938.0,1908.0,0
270,75,2414.0,2758.0,0
275,75,4751.0,4413.0,0
280,75,402.0,410.0,0
285,75,475.0,765.0,0
290,75,732.0,1169.0,0
295,75,691.0,1330.0,1
300,75,900.0,1512.0,0
10,80,1001.0,1356.0,0
15,80,2823.0,3164.0,0
20,80,4474.0,4097.0,0
25,80,577.0,431.0,0
30,80,2472.0,2256.0,0
35,80,699.0,647.0,0
40,80,899.0,964.0,0
45,80,2551.0,2433.0,0
50,80,564.0,618.0,0
55,80,286.0,488.0,0
60,80,421.0,736.0,0
65,80,563.0,933.0,0
70,80,163.0,173.0,0
75,80,456.0,1229.0,1
80,80,436.0,1257.0,1
85,80,429.0,1188.0,1
90,80,647.0,1557.0,1
95,80,704.0,2073.0,1
100,80,304.0,986.0,1
105,80,308.0,813.0,1
110,80,217.0,405.0,0
115,80,200.0,336.0,0
120,80,833.0,2361.0,1
125,80,668.0,1987.0,1
130,80,917.0,3062.0,1
135,80,1298.0,2112.0,0
140,80,1372.0,2447.0,0
145,80,969.0,3116.0,1
150,80,940.0,2167.0,1
155,80,1682.0,2150.0,0
160,80,1281.0,2628.0,1
165,80,986.0,1922.0,1
170,80,1322.0,2025.0,0
175,80,4730.0,4866.0,0
180,80,2129.0,2236.0,0
185,80,1038.0,1394.0,0
190,80,577.0,1611.0,1
195,80,427.0,1160.0,1
200,80,539.0,1980.0,1
205,80,650.0,2151.0,1
210,80,1105.0,2193.0,1
215,80,558.0,2137.0,1
220,80,392.0,739.0,0
225,80,543.0,1401.0,1
230,80,1578.0,2536.0,0
235,80,3718.0,3531.0,0
240,80,3971.0,3819.0,0
245,80,804.0,801.0,0
250,80,749.0,646.0,0
255,80,1286.0,1205.0,0
260,80,603.0,512.0,0
265,80,4212.0,3662.0,0
270,80,3334.0,3325.0,0
275,80,679.0,660.0,0
280,80,1062.0,1453.0,0
285,80,1401.0,1956.0,0
290,80,193.0,191.0,0
295,80,547.0,1770.0,1
300,80,789.0,1634.0,1
10,85,4180.0,3987.0,0
15,85,5871.0,5432.0,0
20,85,5151.0,4826.0,0
