Patch,NDVI_2023,NDVI_2024,Change,Class_2023,Class_2024
"(60:70,240:250)",-0.010453813778985998,0.011772798493807874,0.02222661227279387,land,land
"(60:70,250:260)",-0.019017869913280777,0.00816818789828018,0.027186057811560957,land,land
"(60:70,260:270)",0.06860075550379151,0.07799393649172558,0.009393180987934069,land,land
"(60:70,270:280)",0.1950486536586631,0.16203281219850418,-0.03301584146015893,land,land
"(60:70,280:290)",0.2691758870111831,0.2524378077953262,-0.016738079215856905,land,land
"(60:70,290:300)",0.37019231184864987,0.36514757007091736,-0.005044741777732509,vegetation,vegetation
"(60:70,300:310)",0.4645675630530757,0.45318850635304697,-0.011379056700028756,vegetation,vegetation
"(70:80,0:10)",0.2455723300058431,0.2641236230754417,0.018551293069598573,land,land
"(70:80,10:20)",0.006559634206556627,0.12692004523303305,0.12036041102647642,land,land
"(70:80,20:30)",-0.04485429513757712,-0.0345697509227706,0.01028454421480652,land,land
"(70:80,30:40)",-0.039163072667846535,-0.04288532993951355,-0.003722257271667015,land,land
"(70:80,40:50)",-0.009574275230957462,-0.005336832274806401,0.00423744295615106,land,land
"(70:80,50:60)",0.27643964840122587,0.23327603151620516,-0.04316361688502071,land,land
"(70:80,60:70)",0.3545537321742336,0.2932594844739368,-0.06129424770029679,vegetation,vegetation
"(70:80,70:80)",0.22932867739328344,0.15094902798683885,-0.0783796494064446,land,land
"(70:80,80:90)",0.2830814760096033,0.2509142593158559,-0.03216721669374739,land,land
"(70:80,90:100)",0.32245091506554496,0.2949268481450664,-0.02752406692047854,vegetation,vegetation
"(70:80,100:110)",0.3427318638610014,0.29422919674276143,-0.04850266711823997,vegetation,vegetation
"(70:80,110:120)",0.2906505608802842,0.21002769568255458,-0.0806228651977296,land,land
"(70:80,120:130)",0.20112451847401236,0.14523546206375898,-0.05588905641025338,land,land
"(70:80,130:140)",0.1114239870171121,0.09157112179856007,-0.019852865218552035,land,land
"(70:80,140:150)",0.13475492438531997,0.14993559783135374,0.015180673446033771,land,land
"(70:80,150:160)",0.08544514852246314,0.11034164338402074,0.024896494861557594,land,land
"(70:80,160:170)",0.09356374020266107,0.09350080811152499,-6.293209113608644e-05,land,land
"(70:80,170:180)",0.0006349650370349739,0.032602810400518066,0.03196784536348309,land,land
"(70:80,180:190)",0.28958826995285275,0.2782206926344295,-0.01136757731842325,land,land
"(70:80,190:200)",0.4230961342230112,0.40356150834235455,-0.01953462588065663,vegetation,vegetation
"(70:80,200:210)",0.4403857539257811,0.4287494508141501,-0.011636303111630997,vegetation,vegetation
"(70:80,210:220)",0.45148263112280196,0.4416851696910859,-0.009797461431716059,vegetation,vegetation
"(70:80,220:230)",0.41973122940145885,0.38560109959530936,-0.03413012980614949,vegetation,vegetation
"(70:80,230:240)",0.1410061149871131,0.16989337368149138,0.028887258694378276,land,land
"(70:80,240:250)",0.05870644899500717,0.0787104211701583,0.02000397217515114,land,land
"(70:80,250:260)",0.012519276710542974,0.06492237371698965,0.05240309700644668,land,land
"(70:80,260:270)",0.13143665628190912,0.1778731823061357,0.04643652602422657,land,land
"(70:80,270:280)",0.06378829162396528,0.06446707831636996,0.0006787866924046759,land,land
"(70:80,280:290)",0.1478720536893723,0.13668023695399467,-0.011191816735377641,land,land
"(70:80,290:300)",0.2873592611948133,0.28141639810265245,-0.005942863092160855,land,land
"(70:80,300:310)",0.4440615051276594,0.4360457908278702,-0.0080157142997892,vegetation,vegetation
"(80:90,0:10)",0.03735246856148693,0.16850033681043824,0.1311478682489513,land,land
"(80:90,10:20)",0.02105566176317432,0.13244851043599057,0.11139284867281625,land,land
"(80:90,20:30)",-0.04349926069857452,-0.02111348264422008,0.022385778054354443,land,land
"(80:90,30:40)",-0.06198213545974757,-0.037186004266993915,0.024796131192753652,land,land
"(80:90,40:50)",-0.015385177335643898,0.016554560015647573,0.03193973735129147,land,land
"(80:90,50:60)",0.21700377423672748,0.1912804031916502,-0.02572337104507727,land,land
"(80:90,60:70)",0.1974741227792817,0.14139698621476454,-0.056077136564517155,land,land
"(80:90,70:80)",0.411759868511673,0.3865013686822189,-0.025258499829454106,vegetation,vegetation
"(80:90,80:90)",0.41654687496939774,0.3931720269531462,-0.02337484801625156,vegetation,vegetation
"(80:90,90:100)",0.3401838975314704,0.315313240618774,-0.024870656912696354,vegetation,vegetation
"(80:90,100:110)",0.48169743665595083,0.46187112553908444,-0.01982631111686639,vegetation,vegetation
"(80:90,110:120)",0.4261030480038718,0.4032359604361588,-0.022867087567712996,vegetation,vegetation
"(80:90,120:130)",0.4796650470042396,0.43502021552145675,-0.044644831482782865,vegetation,vegetation
"(80:90,130:140)",0.4822662810170935,0.42020021114572204,-0.062066069871371476,vegetation,vegetation
"(80:90,140:150)",0.44997201317323404,0.42509211042132233,-0.02487990275191171,vegetation,vegetation
"(80:90,150:160)",0.3545458646280802,0.3106176153237423,-0.04392824930433786,vegetation,vegetation
"(80:90,160:170)",0.37042585375892456,0.28426775824910266,-0.0861580955098219,vegetation,land
"(80:90,170:180)",0.1574873123137391,0.07430060400802867,-0.08318670830571044,land,land
"(80:90,180:190)",0.35242637275608957,0.3344917516338644,-0.01793462112222516,vegetation,vegetation
"(80:90,190:200)",0.47823953204621517,0.46316997193212567,-0.015069560114089497,vegetation,vegetation
"(80:90,200:210)",0.4337550042276176,0.3911720666204117,-0.042582937607205884,vegetation,vegetation
"(80:90,210:220)",0.3445321898270906,0.26649799060339946,-0.07803419922369115,vegetation,land
"(80:90,220:230)",0.2842524242905361,0.21377712970172982,-0.07047529458880628,land,land
"(80:90,230:240)",0.023934382896621975,0.1380058626292498,0.11407147973262782,land,land
"(80:90,240:250)",-0.019013712846455078,0.04336724947082532,0.062380962317280395,land,land
"(80:90,250:260)",0.0613822359281122,0.1138140037460897,0.0524317678179775,land,land
"(80:90,260:270)",-0.015648325324514677,0.03595286347553166,0.051601188800046334,land,land
"(80:90,270:280)",0.006386163977502233,0.003027102991471944,-0.003359060986030289,land,land
"(80:90,280:290)",0.13666248114573767,0.11339113633638435,-0.02327134480935332,land,land
"(80:90,290:300)",0.33474231159087625,0.31175055413588126,-0.022991757454994988,vegetation,vegetation
"(80:90,300:310)",0.4563602345987191,0.4628658401057666,0.006505605507047485,vegetation,vegetation
"(90:100,0:10)",-0.012084916220249362,0.09292472791555743,0.1050096441358068,land,land
"(90:100,10:20)",-0.0355180718999432,0.0008551475358074565,0.036373219435750656,land,land
"(90:100,20:30)",-0.0409055068954886,-0.03246658682715677,0.008438920068331829,land,land
"(90:100,30:40)",-0.04946055571148461,-0.04387597642695153,0.005584579284533084,land,land
"(90:100,40:50)",-0.03317137962450672,0.005648534843539237,0.03881991446804595,land,land
"(90:100,50:60)",0.1366183205994522,0.12092271008719516,-0.01569561051225704,land,land
"(90:100,60:70)",0.2952060136067976,0.23333237315468427,-0.061873640452113327,land,land
"(90:100,70:80)",0.44537473917059,0.40700565523004684,-0.03836908394054317,vegetation,vegetation
"(90:100,80:90)",0.4550985320679771,0.42842790474491366,-0.026670627323063467,vegetation,vegetation
"(90:100,90:100)",0.3350551817666212,0.3142200182672721,-0.020835163499349107,vegetation,vegetation
"(90:100,100:110)",0.4492489497491545,0.44371313813272795,-0.005535811616426578,vegetation,vegetation
"(90:100,110:120)",0.5002735765586519,0.4870006114824723,-0.013272965076179588,vegetation,vegetation
"(90:100,120:130)",0.5379628405929807,0.5259538589781093,-0.012008981614871406,vegetation,vegetation
"(90:100,130:140)",0.45319919985729507,0.42254383850079896,-0.030655361356496102,vegetation,vegetation
"(90:100,140:150)",0.35938682786561205,0.30792514237761176,-0.051461685488000286,vegetation,vegetation
"(90:100,150:160)",0.19354181945954926,0.12640736017345813,-0.06713445928609113,land,land
"(90:100,160:170)",0.24035127027813363,0.18577277749798335,-0.054578492780150284,land,land
"(90:100,170:180)",0.4410256591605246,0.41401551898950595,-0.02701014017101866,vegetation,vegetation
"(90:100,180:190)",0.49176280267221223,0.4816132208884642,-0.01014958178374803,vegetation,vegetation
"(90:100,190:200)",0.4608013941632537,0.43278439825948745,-0.028016995903766273,vegetation,vegetation
"(90:100,200:210)",0.4000171018014831,0.3303789427179671,-0.069638159083516,vegetation,vegetation
"(90:100,210:220)",0.14495632991570973,0.08956285837153966,-0.05539347154417007,land,land
"(90:100,220:230)",-0.0019808367642998497,-0.004742959253357716,-0.002762122489057866,land,land
"(90:100,230:240)",-0.01901129788221746,0.02921388688775743,0.048225184769974894,land,land
"(90:100,240:250)",0.1509424437803955,0.1953712821648974,0.0444288383845019,land,land
"(90:100,250:260)",0.07064894476336588,0.12939440063754545,0.05874545587417958,land,land
"(90:100,260:270)",-0.036593532669878616,-0.0128455250070197,0.023748007662858915,land,land
